SID,label,sentence
210,1,Su padre le puso el nombre de su abuelo
566,0,Suena rollo espera un minuto. ¿Qué edad tiene tu hija?
297,1,"y yo estaba rollo: soy tan inteligente, como usted sabe, la verdad es que me he dado cuenta, tengo que hacer algo grande"
30,1,"Bueno, aunque pida el DVD a Netflix, necesita tener Internet para ponerlo en su lista de envíos."
6,1,Podría verlo. Especialmente con un saxo apoyado en la barbilla todo el tiempo.
483,0,"Lo hacen, incluso en Bloomingdale, también, te devolverán el maquillaje y tal,"
468,0,¿Cuál era tu película favorita de Disney cuando era niño?
515,0,Creo que lo hizo porque cuando hablé con él fue muy positivo en lo que respecta a vuestra conversación
449,0,Seguro que sí. ¿Has visto alguna vez Big Hero 6?
454,0,"tienen que ser, ese es su trato, tienen que hacer, es lo mismo que ha sucedido con Home Depot"
252,1,"Así que, en términos de higiene, incluso en los agradables baños del centro comercial, tienen cosas adicionales para que se limpie cuando va al baño y esas cosas. En términos de higiene definitivamente no era un problema, baños de estilo occidental."
247,1,"Sabe lo que digo, todo lo que quiere hacer lo puede hacer. Le proporciona todo lo que quiere hacer."
95,1,¿De pequeño jugaba con piezas de Lego?
291,1,"Sí, ya sabe lo que digo. El tiempo pasa muy rápido"
430,0,"Yo también lo he oído. Ey, ¿qué piensas de Morgan Freeman? ¡Hace poco descubrí que había estado en la empresa eléctrica en los 70!"
307,0,"Siri ni siquiera es compatible con Spotify en el Homepod. Cuando la asistente no puede comunicarse con la música para que se reproduzca en los altavoces, hay un problema."
16,1,"Eso es cierto con Walmart. Pero con Prime obtiene música y vídeos gratis. También libros para el Kindle. Yo hago streaming de vídeos, así que esto es una buena ventaja. De vez en cuando compro en otros sitios, como Etsy para regalos."
378,0,"Es una buena observación. Lo que da miedo de nuestra trayectoria actual es que la Tierra se quedará sin helio para el año 2100, sé que lo amas, es muy importante para fabricar cosas, así que no sé qué haremos."
517,0,"para tratar de bajar el precio. Porque para Airbnb no veo demasiados cupones, ya no te dan tu dinero si voy"
123,1,"Sí, tiene razón. A pesar de que los estudiantes estaban de luto debido a un tiroteo masivo un día antes, los republicanos aparecieron solo en Fox, donde no los presionarían por el control de armas."
476,0,"Sí, exactamente. Está bien, ahora también echo un vistazo a mis tiendas de ropa ¿dónde compras tú?"
526,0,"Quiero decir lo que es una compra increíble allí, ya sabes, almendras cubiertas de chocolate con no sé qué."
521,0,cuántos trabajos son realmente así. ¿Como alguien que es raro e incómodo como tu jefe?
391,0,"Probablemente por el dinero, LOL. Debe ser agotador para el cuerpo y la salud mental también, es como una fiesta sin parar durante 20 años, ugh."
576,0,"Porque los perros dan mucho trabajo y son ruidosos y se orinan en el suelo y destruyen tus cosas, y son simplemente molestos."
524,0,Y ellos pusieron un mercado justo como tu solución.
20,1,"Bueno, la verdad es que no soy experto en estos temas, cualquier cosa que lo asuste lo suficiente. En fin, gran charla, suerte con su trinchera."
560,0,"Todas mis hermanas fueron a la universidad. Se graduaron de la universidad, el hermano mayor obtuvo su (máster). La escuela es una familia. (Tienes) que ir a la escuela."
14,1,"Es importante exponer su postura. Es muy importante televisar no solo el apretón de manos, sino también el mensaje."
318,0,"Lo sé, y si lo piensas bien, no se necesita mucho tiempo, tan solo tienes que incorporarlos como hábitos en tu rutina."
68,1,Las películas infantiles son un gran negocio para los famosos. ¿Cuál es su película infantil favorita?
344,0,"Vaya. Nunca me interesaron sus libros, ¿y a ti?"
407,0,"Probablemente, el maquillaje puede convertirte en casi cualquiera"
445,0,Es un tío estupendo. Creo que es un tío estupendo y un tremendo actor. ¿Qué película de él es tu favorita?
388,0,"Sí, la gente tiende a olvidar que es libre de irse. Me gusta esa sabiduría y esa táctica. También puedes jugar un juego en la mente, retándote a sí mismo a entretenerte durante toda la reunión/cita."
7,1,"Siri ni siquiera es compatible con Spotify en el Homepod. Cuando la asistente no puede comunicarse con la música para que se reproduzca en los altavoces, hay un problema."
108,1,"Sí, lo he visto por última vez en la última versión de Disney de El cascanueces. ¿La ha visto?"
295,1,"bueno, pero por la cancelacion, veamos, ¿lo tiene? ya sabe, espere, lo estoy buscando, ¿qué es lo que puede? ¿Dónde? ¿Por qué no se cancela su vuelo todavía? ¿Puedo cancelar mi billete si lo he comprado en un local?"
351,0,"Un tío con talento, ¿qué piensas de las barbas de chivo que se dejan crecer algunos jugadores?"
169,1,"bisabuelo, usted entiende lo que digo, así son las cosas."
366,0,Es una locura. ¿Te gusta Tom Hanks? Ha recaudado más de 8500 millones en taquilla.
4,1,"No, ella atacó a Babe Ruth y a Lou Gehrig sucesivamente. Adoro lo de atrapar una pelota con el sombrero."
103,1,"LOL. Bueno, no lo diseñaron para turistas. Supongo que ha aprendido la lección. Aun así, gracias por ayudar a mantener limpia Estambul."
