SID,label,sentence
813,1,あなたの子供たちとかにはどんなことを望んでいますか。全部把握できるなら。あなたのご両親はあなたやあなたの子供たちをどう扱ってきましたか。 え、どうやってやりますか？
1459,0,何が起こっているのか、私のネットワーク上で何か変なことが起こっているのか......今、私の声が聞こえる？
670,1,幸いなことに、私の仕事にはそのような時間があります。とはいえ、この世界的なパンデミックでみんな家にいるので、今はたくさん教えています。
1465,0,両方ともリサーチしないといけないね。それから、私の友人は、ブラックフライデーの頃か何かだったと思う。
789,1,映画は携帯電話でも視聴が大幅に減少しています。ということは携帯電話ではテレビを観ている人が多いんだと思います。私は携帯電話でテレビを観たことはありません。そういうものは観ません。でも、携帯電話でYouTube動画だけは観ています。
845,1,ニューヨークのブルーミントンにもあるレストラン。お気に入りのレストランはどれですか？
1370,0,これは素晴らしいことです。私がギリシャに行ったのは、本当に親しい友人が彼女の夫と話をすることになっていたからだ。
110,1,何？ 本当に？ それは馬鹿げています！ しかし、やっぱり私は量子コンピューターの設計に取り組んでいるので、私自身いくつか奇妙なものを見てきました。笑笑 物理は一般的に異様だと思いませんか？
86,1,うん、PCが多すぎるのは私は時代遅れだと思いますね。好きなコンテンツを作ればいいと思います。それが悪い場合は悪いんです。見る人はそれがひどいから気に入らないのでしょう。
831,1,どうしてあなたは電話でそれをしませんか？あなたは何が好きではありませんか？
264,1,私もありません。それが脳の中で何かを誘発するんだと思います。少しばかげていますが。好きなユニフォームはありますか?
1607,0,まあ、それはあなたの血の中にあると思うよ。
1734,0,私の人生の色んなステージで、ほら、家族、努力、献身、忠実、正直さ。だから私の子供たちがそれを学んで自分たちの家族を大切にしてくれれば
1057,0,"ねえ、あなたは決して年を取りすぎてなんかいないよ。私自身孫がいるんだ！笑 私は孫と一緒にビッグ・ヒーロー・シックスを見たよ、素敵な可愛いアニメ映画だね。 55,000コアのスパコンでレンダリングされた素晴らしいグラフィックだった。"
1737,0,彼らの人生でその段階まで成長して、色んなことに直面する、ほら
189,1,最近、オーストラリア人の声からイギリス人の声に切り替えました。女性に対し飽きずに関心を持ち続ける必要がありますから!
1193,0,私もだよ！ザ・ルームを見たことがある？それは私のお気に入りのひどい映画だよ、彼らは実際にトミー・ウィソーと一緒にディザスター・アーティストと呼ばれるカルト信者についての映画を作った。これについて聞いたことがある？間違いなくラジー賞に値するよ@
975,0,子供たちを怖い映画に連れていくのが好きなんだ。そうすれば、子供たちは私と一緒に美術館に行って楽しんでくれるようになるからね。
1049,0,私も同感だよ！ほら...私は寝ることが大好きだが、アラスカから北メキシコまで眠らずに渡る鳥がいるんだ。かなり疲れるよね！
1517,0,アマゾンやハイエンドスニーカー商品、そして洋服をネットで見るなど、私もこれの犠牲者であることはわかっている。
163,1,私がウェンディーズを去った日に自分がショックを受けたのはわかっています、私の電話は私の訪問がどうだったか私に尋ねました！ 娘は大笑いしました。
527,1,私が心配しなくてもいいように、子供が心配しなくてもいいように、孫が心配しなくてもいいように、数字のゼロがたくさん入った銀行口座をくれればいいんです。
1211,0,まったくあなたと同感だが、一方で、それはある意味すばらしくて、映画をより現実的にしている。ミッション:インポッシブル/フォールアウトは現実性からはかなりほど遠いよ。
771,1,はい、PayPalで支払いできるんですね。そうですね？確かですね。
246,1,はは、私も一皮むけば恥ずかしいことだらけです。
481,1,私の長女、サミーですが、彼女はすごいです、よくしゃべりとても感情豊かですが、彼女は女の子ですから、私はとても苦労しました。
1669,0,それ以外の方法はどれも最悪の方法だと私は思う。もし誰かが、ねえ、あなたの家族が今日ちょっとした危機に面しているよって言ったら、分かった、心配しないで、何でもないことで、誰にでもあることだからって
364,1,（笑）そのとおりです！上の選挙オプションがないのはネバダ州だけだということを知りませんでしたよ。
1062,0,ええ、それで少しお腹が空いたよ。 あなたはマイケル・ジャクソンが好きだった？
25,1,笑...ええ？多分彼らは私の鶏肉から骨を取ることができますか？
1635,0,いや、男性はそれについて何も言うべきではないよ、すみません。それはあなたの体ではないから。
770,1,それはリピーター俳優になるでしょう。しかし、私はわかります。あなたの好きな映画のジャンルについて話しましょう。
188,1,ええ、声だけであってもかまいません、私はいつも地元のラジオ局で働きたいと思っていました笑。
51,1,ロックバンドでソニック？彼はそのためのヘアカットをしていると思います。彼はおそらくホワイトスネイクにも加わることができたでしょうに。
128,1,彼は素晴らしい俳優だと思います。私は彼が素晴らしい技能を持っているので、彼が自分のスタントをしているのは危険だといつも思っています
1090,0,私はそれを読んで同じように考えたよ。ゼブラフィッシュは人間にどれほど似ているのだろうか？それを医学研究に使用できるのか？
1000,0,はは、彼も私の1票を獲得するだろう！1918年までは英国の男性が全員投票できたわけではないことを私は知らなかったよ！
385,1,ええ、ばかげた出で立ちです。誰も引き出しなど見たくありません。良い夜を過ごしてください！
630,1,だからそういったものは、親の周りに置いてあるんです。
98,1,それも頭をよぎりました。猿も私は気になります。最終的には線を引く必要があります。
1495,0,それでね、週40時間以上働いたことがあるかどうか、いろいろと彼らに聞かれたよ。
1101,0,聞いたことはあるが見たことがないので、たくさんのボリノウで思い出したに違いない。 実際に聞いてみたい！私には面白そうだ！
1443,0,そして、彼はどうやら落ち込んでいたようで、彼の母親が私の母親に「このパーティーに彼を誘ってほしい」と頼んできた。
1248,0,あまりにくだらないと思う。気に入らなかったら、教訓を学んで、次からコンサートのチケットを買わないことだね。
378,1,ああ、いえ、私は詩を理解することができませんでした。あなたと話せて良かったです。良い一日を過ごしてください！
422,1,太陽の光や煙があなたのコンピューターの保証を無効にしたのではないかと心配しました
1436,0,ええ、教えてくれ。さあ、その話をしてくれ、兄弟
995,0,私はそれを使ったことはないよ、私はiPhoneを持っているので、楽しいね。 アレクサは使っていないよ、自分を見張られるのが怖いから。
1160,0,その人が投票にさえ来るか分からないけど、どうしてそんなジャングルにいるのだろうか。前回の選挙は投票した?
265,1,ともかくそれが盗難を防ぐと考えています。はっきり言えるのは、車のどこにでも火炎放射器を取り付けることができるということです。そうすれば、泥棒がドアに近づいて来ても阻止できます。
718,1,分かりますね。
784,1,お母さんはあなたに役に立たない贈り物を送ります。
908,0,ええ、あなたの空飛ぶ車が故障して、あなたが死に向かって急降下しても、車にフェイルセーフ機能はない。 私のクリケットの試合にUberを飛ばすのは洒落ているだろう。 ピッチに着地する瞬間はかっこいいと思うよ。
340,1,私はそれを見ていませんが、あなたの言葉を信じます。
229,1,私はそこに行きたいです。 私はマンガも読むのが好きでした。
331,1,誰かがノームを盗んだんですか?誰がノームを盗むんですか?友達を探しているTravelocityのノームだったのでしょうか?
585,1,思わず人のアパートに入って彼らを連れていき、「ごめんなさい、短期で借りてて、持って行ってしまいました」と言いたくなるような場面もありますよ。
431,1,それは知りませんでした。好きなバンドはありますか?前はリンキンパークが好きでした
1035,0,ドードーの運命にいつも私の妻は涙するんだ。彼らはとても信頼できそうで、それが彼らの終焉につながるのだよ。
895,1,じゃあ叔母と叔父は何人いますか
1120,0,運動靴にティーバッグを入れてみるよ。それが臭いを吸収するかどうか見てくれ...
1601,0,財布が見つけられないなら行くべきじゃないと私たちは思ったけど、私は、いや、見つけられるって感じで。それで、納得して私たちはダウンタウンに行った
1776,0,わかった？携帯電話のサインインの仕方はわかった？
1200,0,私はグラン・トリノが好きだけど、あなたは何が好き?
403,1,うわー、原稿を書くのに長い時間がかかります。さて、話せて嬉しかったです！
1326,0,さて、サンディエゴは暖かいよりも暑くなるだろう。本当に？何か意味が含められている？それとも、バンドの後ろから子供に呼びかけるべきではないという意味？
997,0,セレナは約319週間、仲間のトップに立っていると思うよ。 （ボタンが機能しないため、[完了]をクリックしてください）。
1239,0,ネイティブアメリカンの本には詳しい？
1429,0,はい、実はそれを作ったことがある。母は私が子供の頃それを電子レンジで作っていた。母はご飯も電子レンジで作る。
1681,0,親とかそういう人たちは良い人？あなたを悩ませるだろう
944,0,はい、地球は確かに長い間存在してきた。 私にとって非常に興味深いのは、地球の約71％が水で覆われていることだ。 残り29％は陸地とさまざまな島々だ。
1351,0,今まで付き合った人たちは、私が歩いた地面を崇拝していたのに、あなたは私の欠点を指摘するのね。
1684,0,お母さんはあなたに役に立たない贈り物を送るよね。
1560,0,最初の頃の私たちのように、彼らは観客と話をしていて、「わあ、君たちは本当に僕の親友なんですね」とか、「新しいバンドでは、一緒に行きましょう」とか言っているんだ。
292,1,確かに。でもゲームはテレビよりも否定的に見られます。それで、子どもがゲームで遊ぶ時間を法律で制限している国もあります。
1661,0,それはすべて石油で、あなたは何もできない。それはすべて石油で、プラスチックに変わる、
872,1,大丈夫です。よければマイクをミュートして、私達に聞こえないようにできます。
1117,0,それは良いことだ、私の州では食料品店はアルコールを売ることができないんだ
1087,0,はは、はい、それは残念だ、私もしなかったよ。ちなみに日本に行ったことはある？どうやら野球はあそこでは非常に盛んなようだよ
1466,0,扉から入ってきた人が、私に見せて、お腹をさするように触って、歌い始めて、人が離れていくの？
1572,0,彼の妹は私の父の、彼の母は私の父の妹で、私は彼女が怒りの問題を抱えていることに気づいた、彼らは彼らに会いに行く人のことを気の毒に思っていると感じた。
1324,0,自分好みのディズニー映画があるはずさ!私はアニメーションが好きだけど、子ども向けじゃなくて大人向けのものが多いよ。
1428,0,そして彼は言った。私の両親はホロコーストを経験したけど、私が子供の頃に教えられた唯一のことは、私たちは前に進むためにすべてを放棄したということだった。
493,1,ハリー・ポッターの世界を作ったばかりでした。私と弟はハリー・ポッターの大ファンでした。もっともっと彼のことを知りたいです。
665,1,家族とはどのくらいの頻度で会うものでしょうか？私の場合年に2回くらいですね。私の両親は
674,1,私が必要としている場所にすぐに連れて行ってくれます。
